Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555664071	-331.9326172	-70.1031189	0.704381439	1.407319665				
0.55566414	-318.5950317	-63.12452316	0.704381439	1.407319665				
0.555664209	-317.3825378	-84.06030273	0.704381439	1.407319665				
0.555664279	-328.295105	-100.8837051	0.7062808	1.408762879				
0.555664348	-335.115448	-82.93874359	0.706594427	1.4125616				
0.555664418	-335.4564819	-78.45250702	0.706594427	1.4125616				
0.555664487	-342.276825	-116.5855408	0.706594427	1.4125616				
0.555664556	-346.0280151	-98.64057922	0.706594427	1.4125616				
0.555664626	-350.8022461	-112.0993042	0.706594427	1.4125616				
0.555664695	-349.7792358	-98.64058685	0.706594427	1.4125616				
0.555664765	-338.5256348	-75.08782959	0.706594427	1.4125616				
0.555664834	-334.0545044	-84.06030273	0.706594427	1.4125616				
0.555664903	-328.295105	-80.07254028	0.708912959	1.413188854				
0.555664973	-325.8700867	-73.09394073	0.70921617	1.417825918				
0.555665042	-318.8981323	-80.07254028	0.70921617	1.417825918				
0.555665112	-311.6231384	-73.09394073	0.70921617	1.417825918				
0.555665181	-307.5814514	-63.12452316	0.70921617	1.417825918				
0.55566525	-309.1980896	-76.0847702	0.70921617	1.417825918				
0.55566532	-318.5950317	-72.09700012	0.70921617	1.417825918				
0.555665389	-324.9606934	-71.10005951	0.70921617	1.417825918				
0.555665459	-328.9013367	-66.11534882	0.710812861	1.41843234				
0.555665528	-322.2325439	-63.12452316	0.710812861	1.41843234				
0.555665597	-321.133728	-54.89974976	0.711189907	1.421625722				
0.555665667	-318.7466125	-63.87223053	0.711189907	1.421625722				
0.555665736	-314.6543884	-43.68415451	0.711189907	1.421625722				
0.555665806	-308.4023743	-57.89057922	0.711189907	1.421625722				
0.555665875	-312.6082764	-53.77819061	0.711189907	1.421625722				
0.555665944	-303.4007874	-41.44103622	0.711189907	1.421625722				
0.555666014	-299.1948853	-47.17345047	0.711189907	1.421625722				
0.555666083	-293.4355164	-31.22237968	0.712987841	1.422379814				
0.555666153	-295.2163696	-29.1038723	0.713212827	1.425975681				
0.555666222	-297.6792908	-19.25907135	0.713212827	1.425975681				
0.555666291	-301.9230652	-38.2009697	0.713212827	1.425975681				
0.555666361	-299.4980469	-41.19179916	0.713212827	1.425975681				
0.55566643	-302.5292969	-39.19791794	0.713212827	1.425975681				
0.5556665	-302.2261963	-39.19791412	0.713212827	1.425975681				
0.555666569	-299.4980469	-22.24990273	0.713212827	1.425975681				
0.555666662	-301.0136719	-30.22543716	0.71507	1.426425653				
0.555666708	-296.9214783	-44.80571747	0.71507	1.426425653				
0.555666777	-292.8292542	-38.07635117	0.71507	1.426425653				
0.555666847	-292.8292542	-35.83323669	0.71507	1.426425653				
0.555666916	-287.3047485	-18.18736076	0.71507	1.426425653				
0.555666986	-282.1440125	-28.73002625	0.71507	1.426425653				
0.555667055	-283.3944092	-21.62681198	0.71507	1.426425653				
0.555667124	-281.0072937	-26.33736038	0.716380987	1.43014				
0.555667217	-284.6448059	-28.13186073	0.716380987	1.43014				
0.555667263	-286.1452942	-26.41213226	0.716990111	1.432761974				
0.555667332	-285.0287781	-11.81523991	0.716990111	1.432761974				
0.555667402	-282.8260803	-24.24378014	0.716990111	1.432761974				
0.555667471	-281.3508606	-19.85723495	0.716990111	1.432761974				
0.555667541	-280.1989746	-21.91758728	0.716990111	1.432761974				
0.55566761	-285.2510681	-14.93899155	0.716990111	1.432761974				
0.55566768	-282.5987244	-23.49607468	0.718467623	1.433980222				
0.555667749	-277.4379578	-23.86993408	0.718467623	1.433980222				
0.555667818	-271.5093079	-28.56386566	0.718467623	1.433980222				
0.555667888	-271.3072205	-8.292713165	0.718467623	1.433980222				
0.555667957	-269.6400452	-10.03736591	0.718467623	1.433980222				
0.555668027	-272.3681641	-25.73919678	0.718467623	1.433980222				
0.555668096	-271.3451233	-33.59011841	0.718467623	1.433980222				
0.555668165	-264.6384277	-20.25601387	0.719775162	1.436935246				
0.555668235	-259.3640442	-15.67008305	0.719775162	1.436935246				
0.555668304	-261.4253235	-10.08720493	0.7193385	1.439550325				
0.555668374	-268.2986755	-13.92543411	0.7193385	1.439550325				
0.555668443	-263.1228027	-20.25601387	0.7193385	1.439550325				
0.555668512	-261.3040466	-24.24378586	0.7193385	1.439550325				
0.555668582	-258.8790588	-21.25295639	0.7193385	1.439550325				
0.555668651	-261.9102783	-19.25907135	0.7193385	1.439550325				
0.555668721	-262.1123962	-9.621964455	0.7193385	1.439550325				
0.55566879	-262.0239563	-7.046537399	0.714818402	1.438677001				
0.555668859	-256.6813354	-11.15892315	0.714818402	1.438677001				
0.555668929	-255.2415009	-13.27742291	0.713983512	1.429636804				
